year,location,stateDescription,fueltypeid,fuelTypeDescription,total-annual-consumption,total-consumption-units,total-annual-generation,generation-units
2023,SD,South Dakota,PET,petroleum,31.926000000000002,thousand barrels,14.70937,thousand megawatthours
2023,TN,Tennessee,ALL,all fuels,0,thousand physical units,79378.897490000003,thousand megawatthours
2023,TN,Tennessee,NUC,nuclear,0,thousand physical units,37937.437000000005,thousand megawatthours
2023,TN,Tennessee,COW,all coal products,8952.1180000000004,thousand short tons,15792.90871,thousand megawatthours
2023,TN,Tennessee,NGO,natural gas & other gases,145143.10599999997,thousand Mcf,15351.707499999997,thousand megawatthours
2023,TN,Tennessee,REN,renewable,3105.7530000000002,thousand physical units,10747.122219999999,thousand megawatthours
2023,TN,Tennessee,PET,petroleum,242.98800000000003,thousand barrels,102.99760000000001,thousand megawatthours
2023,TX,Texas,ALL,all fuels,0,thousand physical units,540597.87159000011,thousand megawatthours
2023,TX,Texas,NGO,natural gas & other gases,2504738.9510000004,thousand Mcf,278480.92408999999,thousand megawatthours
2023,TX,Texas,REN,renewable,7833.442,thousand physical units,149237.47235999999,thousand megawatthours
2023,TX,Texas,COW,all coal products,50705.995999999999,thousand short tons,71614.789820000005,thousand megawatthours
2023,TX,Texas,NUC,nuclear,0,thousand physical units,40679.870000000003,thousand megawatthours
2023,TX,Texas,PET,petroleum,567.99300000000005,thousand barrels,238.93464,thousand megawatthours
2023,UT,Utah,ALL,all fuels,0,thousand physical units,33736.100810000004,thousand megawatthours
2023,UT,Utah,COW,all coal products,8035.7940000000008,thousand short tons,15912.09708,thousand megawatthours
2023,UT,Utah,NGO,natural gas & other gases,91068.018999999986,thousand Mcf,11951.160330000002,thousand megawatthours
2023,UT,Utah,REN,renewable,1181.202,thousand physical units,5739.92814,thousand megawatthours
2023,UT,Utah,PET,petroleum,56.563000000000009,thousand barrels,29.562779999999997,thousand megawatthours
2023,VA,Virginia,ALL,all fuels,0,thousand physical units,91847.132109999991,thousand megawatthours
2023,VA,Virginia,NGO,natural gas & other gases,397912.91600000003,thousand Mcf,51476.059130000001,thousand megawatthours
2023,VA,Virginia,NUC,nuclear,0,thousand physical units,29662.934999999998,thousand megawatthours
2023,VA,Virginia,REN,renewable,19567.505000000001,thousand physical units,10104.031769999998,thousand megawatthours
2023,VA,Virginia,COW,all coal products,916.91099999999994,thousand short tons,1415.02693,thousand megawatthours
2023,VA,Virginia,PET,petroleum,585.45000000000005,thousand barrels,146.45899,thousand megawatthours
2023,VT,Vermont,ALL,all fuels,0,thousand physical units,2084.8827799999999,thousand megawatthours
2023,VT,Vermont,REN,renewable,1416.9870000000001,thousand physical units,2079.1506199999999,thousand megawatthours
2023,VT,Vermont,NGO,natural gas & other gases,103.05999999999999,thousand Mcf,1.26372,thousand megawatthours
2023,VT,Vermont,PET,petroleum,1.6379999999999999,thousand barrels,0.30578,thousand megawatthours
2023,WA,Washington,ALL,all fuels,0,thousand physical units,100735.32242000001,thousand megawatthours
2023,WA,Washington,REN,renewable,5514.9749999999995,thousand physical units,70049.743590000013,thousand megawatthours
2023,WA,Washington,NGO,natural gas & other gases,144069.859,thousand Mcf,17988.220969999998,thousand megawatthours
2023,WA,Washington,NUC,nuclear,0,thousand physical units,8435.018,thousand megawatthours
2023,WA,Washington,COW,all coal products,2870.172,thousand short tons,4162.607289999999,thousand megawatthours
2023,WA,Washington,PET,petroleum,221.74372,thousand barrels,29.490300000000001,thousand megawatthours
2023,WI,Wisconsin,ALL,all fuels,0,thousand physical units,64779.212329999995,thousand megawatthours
2023,WI,Wisconsin,NGO,natural gas & other gases,226499.85999999996,thousand Mcf,28252.56163,thousand megawatthours
2023,WI,Wisconsin,COW,all coal products,11946.120000000001,thousand short tons,21109.370289999999,thousand megawatthours
2023,WI,Wisconsin,NUC,nuclear,0,thousand physical units,9682.7669999999998,thousand megawatthours
2023,WI,Wisconsin,REN,renewable,10717.559999999999,thousand physical units,5631.8752699999995,thousand megawatthours
2023,WI,Wisconsin,PET,petroleum,212.48799999999997,thousand barrels,73.590839999999986,thousand megawatthours
2023,WV,West Virginia,ALL,all fuels,0,thousand physical units,52336.250119999997,thousand megawatthours
2023,WV,West Virginia,COW,all coal products,18951.989000000001,thousand short tons,44789.755500000007,thousand megawatthours
2023,WV,West Virginia,REN,renewable,0,thousand physical units,3743.4769700000002,thousand megawatthours
2023,WV,West Virginia,NGO,natural gas & other gases,38709.077000000005,thousand Mcf,3654.1758500000001,thousand megawatthours
2023,WV,West Virginia,PET,petroleum,300.79100000000005,thousand barrels,162.78878000000003,thousand megawatthours
2023,WY,Wyoming,ALL,all fuels,0,thousand physical units,43044.356709999993,thousand megawatthours
2023,WY,Wyoming,COW,all coal products,20682.516000000003,thousand short tons,30677.120989999996,thousand megawatthours
2023,WY,Wyoming,REN,renewable,0,thousand physical units,9691.5113399999991,thousand megawatthours
